id,comment
175,本気で絵を描く理由なくなったわ。
205,私は音楽制作を生業としております。昨今、音楽の生成 AI が大きな進化を遂げていることは記憶に新しいと思います。私が思うに現状、音楽生成 AI が人の仕事を奪うまで発展するというのはまだ先のように感じますが、そんな中で AI で制作された音楽が海外のサブスクライブサービスに大量に投稿され、ユーザーのプレイリストが荒らされるという事件がありました。サブスクライブサービスは再生数に応じて収益が発生するので、AI で大量に楽曲を生成すると市場の崩壊を招き、国内でもこういう事象が起こると我々の収益にも影響があるのではないかと懸念をしております。また、文化庁の見解の中に AI 制作物の独自性が認められた場合、AI 制作物であっても著作権が認められる可能性があるという一文がございますが、我々音楽業界の場合、作詞、作曲、編曲と制作過程が分かれるのですが、例えば最近話題となった Suno AI のように作詞した歌詞を入れると AI が曲を制作してくれるというようなサービスを利用し、その出来上がった楽曲を編曲家に依頼しブラッシュアップした物を製品としてリリース、著作権登録するというようなことは可能になってしまうのでしょうか？これが可能になってしまうと、まず作曲家という職業の仕事が AI に置き換わってしまうのではないかという懸念、そして AI で制作した楽曲を第三者が作曲者であると自称し著作権登録が行えてしまうという所謂ゴーストライターのような状況が法的にまかり通ってしまうという懸念が生まれます（作曲者が AI であるというクレジット表記をしてしまうとレコード会社や出版社、著作権管理団体が著作権登録を拒否してしまう可能性があるため）また、昨今問題となっている画像生成 AI のように、既存楽曲の無断学習を行うような AIサービスが確認された場合、それらに対する制作者への許可の有無、金銭的補填、オプトイン制の導入等の知的財産保護の動きが今後政府からあるのかという部分も話し合って欲しいと感じております。私は生成 AI は 0 から 1 を生み出しそれで金銭を稼ぐ物ではなく、知識や技能がある人間が 1 から 2 にクオリティアップを図れる過程を補助する物だと考えております。故に現状の生成 AI に関しては使い方を誤ってしまっている方が非常に多いというのが正直な所であり、それが賛成派、規制派というような派閥の論争を産んでしまった原因のように感じています。私個人としては将来的に認可された事業者登録をした者だけが使える商業用 AI（もしくは運転免許のようなライセンス制など）と一般の方でも自由に扱える非商用のみで利用出来る AI に差別化した上で AI 産業が成り立つべきだと考えており、これが誰でも金銭を稼げるから無法地帯でやってしまおうとならないようにするのが、様々な分野の知的財産を有する日本が歩むべき道なのではないでしょうか？
209,現在の状況を例えるならば「大企業の飲食店経営企業が世界中の果物農家から無断で果物を盗んで、自身の飲食店でフルーツサンドとして販売する」ような状態であり、さらに深刻なのは盗まれた農家は盗まれたことすら気付くことができないのです。現在利用されている生成 AI の多くは、インターネット上に存在する無数のデータを許可なく学習するという点において共通しています。そして AI 技術の成長に対して人間の対応速度が間に合わず、既存の仕組みで生活をしている世界中の人間に不安と不利益が生じています。私の職業はライティングなので、今回は文章生成に関して意見を提出します。まず、現在の生成 AI の仕組み上、生成物の学習元が特定できない点が大いに問題です。出力された文章の中には有料購読者しか見ることのできない文章がそっくりそのまま出力されるという事件や、作家の固有名詞やセリフなどが変わらずに生成されるというような著作権に抵触するような事案が多数発生しています。これらの問題は世界中のいたるところで発生しており、著作権侵害を受けた個人や企業がその都度対応するのは量的に不可能です。上記の問題点はまとめるなら、生成物への貢献に応じた金銭を含めた還元の仕組みができていないことです。著作物の学習元を確認できる仕組みや学習内容に従った報酬等支払うことであったり、そもそも学習を許可なくすることを防止する等を含めた AI 規制が必須であると考えます。
259,享受目的とされる範囲と市場と衝突、あるいは潜在的販路を阻害する とされる範囲が狭いです。このままでは事実上の無法地帯を招くことになりかねません。
266,自殺教唆などの他の犯罪にもつながっているため、AI そのものには文句は言わいが、使う人間に関しては、罰則があると思った。しかし、罰則を画像をダウンロードした者全員に罰則など与えても、逆にクリエイターの一人一人にダメージを与えるような行為となる。丁度いい塩梅が見つからず、決め所が難しいものだと思う。実際クリエイターの 1 人 1 人に実害があるのなら、害を与えた人に何かしらの罰がないと、いつまでもせせら笑っていると思う。色々ある中大変だと思うが、最低限いつも通りの、住所開示請求、脅迫罪、などの AI による創作物が関わらない部分などは、やってほしい。
327,現状イラストレーターへの嫌がらせやフェイク等で使われている印象が強いから規制してほしいワクチンを作らずウイルスをバラまいて手に負えなくなっているようで、いざという時ブレーキをかけられないまま進めるのは危険ではないでしょうか？誰が何の目的で生成したのか、それこそマイナンバー等で管理が出来る物にするべきでは？
344,日本のコンテンツ産業は、今守っておけば、良い意味で長期的に成長産業として持続できると考えています。ある意味経済資源と言っても良いと考えます。しかるに、アニメや漫画といった日本のコンテンツ資産を、AI によって他国に簒奪させるのは、いわば石油や食料資源を他国に奪わせているに等しいように思います。かつて、20 世紀後半から、自動車工場の産業の空洞化と言った指摘が相次ぎました。（今はもう政府も経済的敗北を認めたのか、どうも「産業の空洞化」という単語自体殆ど聞かなくなりましたね。）そう考えれば、コンテンツ産業はぜひとも日本に残したい国内産業である…ように見えます。もちろん、政府として、「そんなに才能があるのならアメリカでもどこでもいって創作すればいい」というスタンスもありとは思いますが、そんなことを 20 世紀に言って居た結果、GAFAM にあたりに全部持っていかれたように思うので、このまま行くと日本全土が香川県のようになるのではないかと思います。
352,例えば、AI 推進派の先生方の声や発言・思想を無断で学習させた AI があったとして、これまでの発言を撤回・否定する声明を別の作成し公開したとして、おそらく先生方はすぐに否定の声明を出すでしょう。しかしなにも知らぬ第三者から見れば、それが AI によって作られたものであることは関係なく、先生方が自らの発言を撤回しただけにすぎない。おそらく作成し公開した人物は、「無料あるいは購入した素材を利用しただけ」というでしょう。であれば推進派の先生方は AI に学習させた人間を探すでしょう。その間にも、同様の方法で愉快犯あるいは模倣犯による声明が先生方だけでなく他の議員の先生方、ひいては内閣要人の言葉や思想が勝手に公開されるはずです。…そうなった場合、事の発端となった AI 推進をされた皆様の処遇はどうなっている事でしょう。とても、楽しみにさせていただきます。自分は関係ないなどと、思わないことです。
389,ー個人の経験を通しての意見ー私は昨年、日本語とスペイン語対訳の詩集を自費出版した。出版した書籍 X は、私の思想と感情を創作的に表現した文学なので、私が産みの親であり著作権は私に帰する。書籍 Xは現在、とある大学のスペイン語のゼミで使用していただいている。仮に、書籍 X を読んだ学生が、日本語とスペイン語の翻訳についての卒論を書くために、書籍 X を使い生成 AI で論文を書いても、私は著作権を侵害されたとは感じないだろう。なぜなら、論文を書くために生成 AI を使うというのは、そもそも言語に対するリスペクトが著しく欠如した低俗な人間がすることなので、そのような学生に目くじらをたてることもまた低俗だからだ。書籍 X が営利目的で使われた場合はどうか。例えば、書籍 X、他の既存の詩文等を AI に入力して、書籍 X に類似・依拠した詩集 Y を「生成して」、それをコンクールに応募したら優勝して、のちにベストセラーになった。作った当人はよく稼ぐことができた。この場合、私は彼がお金持ちになって羨ましいとは思うかもしれないが、著作権侵害を訴えることはしないだろう。なぜなら、そもそも生成 AI を使ってしか文学を創造できないという、しごく貧相な精神の持ち主と争うということは、時間に対する侮辱である。わたしは書籍 X の文章、一文字一文字を、自身の確固たる精神活動の現れだと認識している。それは何があろうとも揺らがない。生成 AI「ごとき」を使って、「クリエイトしている」と喜んでいる人間は、もはや自分たちの精神活動を放棄してしまったのか。
480,受付番号 185001345000000478 の続き（承前）実際に、アメリカの大学等の研究チームの調査で、生成 AI は約 3300 回に 1 回の割合（0.03%の確率）で学習データとほぼ同一の生成物を生成する場合があるという研究報告もあります。生成 AI の 1 日あたりのアクティブユーザー数は 1 千万人を超えているという報告もありますので、1 人あたり 1 日数十回以上の生成を実施する可能性を考えても、約 3300 回に 1回の割合で学習データとほぼ同一の生成物を生成する場合があるという研究報告が事実であれば、1 日あたり 10 万回以上の学習データとほぼ同一の生成物が生成されていることになり、決して無視できる確率ではないでしょう。具体的に上記を裏付ける事実として、イラストレーターの著作物を無断で使用した学習済モデルを使用した生成 AI において、当該イラストレーターが著作物に施した署名がそのまま生成物の中に出力された事案や、ゲームのキャラクター画像と類似性のある生成物の中に当該ゲームのロゴマークがそのまま出力された事案等が多く発生しています。追加的な学習を行うまでもなく、当該生成 AI 自体が高確率で著作物と類似性のある生成物を生成したり、作者の署名やロゴマーク等の学習データをそのまま復元・出力する事例が頻発しており、また、複数の企業が提供する生成 AI を使用したサービスにおいて、特定のゲームや漫画等のキャラクターの画像がほぼそのまま復元・出力される事例が頻発しています。このような問題については多くの人が SNS 等で指摘しているところです。「著作物の創作的表現の全部又は一部を生成 AI で意図的に出力することを目的とした追加的な学習は著作権侵害となり得る」として、生成 AI の学習段階における著作物の表現の思想又は感情の享受を目的とする追加学習の違法性について指摘していることは、一歩前進であると評価しますが、「追加的な学習の有無によらず、生成 AI において学習データをほぼそのまま復元・出力する行為は著作権侵害であり、低確率であっても学習データをほぼそのまま復元・出力する学習済モデルは著作権侵害となり得る」ことを明記すべきです。
595,新しい技術が発明し、人々の生活が変化するごとに、それに伴う法整備が不可欠となる。自動車が発明された当時、運転免許や交通ルールはなかった。ゆえに子供でも運転できたし、道路をどのように、どんな速度でも走って良かった。だがそれでは危険で、人も死ぬ。「自由な運転」と引き換えに免許や道路交通法の整備が行われ、人々は「安全な運転」を手に入れた。写真についても同様のことが言える。発明された当初、肖像権や盗撮などといった概念は存在しなかった。だが、他人の、それも見られたくないようなものを勝手に撮影することは良くないことだと周知され、肖像権が周知され、盗撮は犯罪となった。1980 年代までの国内の雑誌を読むと、平然と盗撮した写真が「読者投稿」として掲載されていた。写真が発明されたのが 19 世紀前半だと考えると、100 年あまりも法整備が遅れていたことになる。翻って、AI はどうであろうか。すでに多数の AI が違法なデータを学習元に含んでいるのは明白になっている。そして多くのクリエイター、日本文化を支えてきた先達たちが「自分の作品を許可なく学習させないでくれ」と訴えている。しかし、そうした訴えが AI 製作者・利用者側から完全に無視されているのが実情だ。そして違法な、無許可なデータから作成した「違法で無許可な」AI 作品が、安価なコストから跋扈し無法地帯となっている。写真と同じ轍を踏んではならない。AI も今後、我々の生活に無くてはならないものになる技術であろう。だがそれは、適正で安全に使える法整備が伴ってのことである。特に日本文化を支えてきたのは、トップレベルから末端までのクリエイター層の厚みに他ならない。この層が、違法で無許可な AI の氾濫によって創作への意欲を失ってしまうのは、大いなる損失である。日本政府が AI に新たな可能性を見出しているのは理解するが、やはりそれは、適正な法整備と、クリエイターに害を為さない安全性を伴って然るべきである。
618,学習に関しては学習されない権利の保証を強くお願いしたい。財産を奪うことは罪になるのに知的財産となると罪にならないのはなぜ？クールジャパンを謳うのであれば、知的財産を保証する土台を作ることが大事。盗まれるのがわかっていて、研鑽する人はいません。
648,イラストレーターも小説家も漫画家も、あまりに大事にされていないと感じます。現状、彼らの作品はただの素材として扱われており、その価値は本来高いはずなのに、ただ同然で消費させられています。「データ植民地」と言われる現状は国家としてあまりに惨めであり、恥ずかしい状態です。生み出し手を守ることができる法整備を期待します。
674,故買屋が得をして、真面目にがんばる人が損をするような社会にしないでください。
711,449 キャラ、36 万音声ファイル、合計 581 時間・343GB の声優のデータを無断で抜き、販売しているようなれっきとした犯罪者が、人間側の無知により肯定されてる世の中になっている。一刻も早い法の制定を、罰則の強化を、国民への周知を。
807,ダメです。とんでもないことをやろうとしています。考えを改めてください。
847,（素案）（概要） の、「併存の具体例（16～18 頁）」について、より具体的な例を示して欲しい。
870,この不安すぎる素案です。もっと慎重に、そしてきちんとそれぞれの業種のヒアリングをして専門家で充分話し合ってこの案をよりよいほうへ変えていただきたいです
883,こちらの草案に反対です。創作文化を軽んじ過ぎていると思います。
926,３．生成 AI の技術的な背景について（２）生成 AI に関する新たな技術画像生成 AI を多くの人が利用できる現状を問題視しています。現在、画像生成 AI は環境が整っていれば誰でも利用できます。とある Lora モデル配布サイトでは、芸能人のほかに安倍元首相の画像を生成することに特化した Lora モデルが配布されており、水着姿の安倍元首相がサンプル画像として載せられています。この安倍元首相のモデルは一般配布されており、ダウンロードすれば誰でも安倍元首相の画像が生成できるようになっています。このように、画像生成 AI は倫理的、社会的に問題のあるものを誰でも作成・使用できる状態になっています。Lora モデルに限らず、ネット上ではコスプレイヤーの写真や未成年の写真に性的な改変を施すなどの悪質な AI 制作物が見受けられます。画像生成 AI を今後社会的に活用することを考えるのであれば、現状の誰でも使える状態は望ましくないと思います。免許制にするなど、画像生成 AI を利用する上での最低限の常識や倫理観を持った人でないと生成 AI を利用できないような仕組みを作るべきだと思います。
933,自由にキャラクターを考えて生み出すこと、漫画を描くことが出来なくなりそうで不安です。出来るならばやめて欲しいと思います。
1002,現状の SNS 上（X→旧 twitter） での AI の使用用途を見てみると、主に絵画作品の描き方が巧いお方の作品情報を材料に取り込み、その情報を元に新しい AI による絵画作品を作り出す使用例を良く見かけます。上記は画像生成 AI の素材として使用 OK な場合であれば問題はありませんが、画像生成AI 作品に使用 NG な素材を収集している所も多々見られ、それにより大元のクリエイターさんが無断使用されたことにより泣いている場面が多々見られます。昨今のような無断使用等を踏まえると、そこには作品を考えた作者様方のオリジナル作品への「尊重」や、 「 著作権」といった思慮は到底あるようには思えず ただ作品の「盗作作成」といった用途にしか AI が使われる未来しか現状見えません。もしこのような情勢が長年続くならば、自分のオリジナルな画像作品を作りたい、広めたいといった方々は今後減っていき、極論コピー作品のコピーのコピー作品ばかりが溢れいく……といった未来が出来上がるかもしれません。言葉では言い辛いですが、それは絵画文化の衰退を招くのではないでしょうか。上記を鑑みると、現状の AI という存在は著作権とは真反対な場所の存在・モノであり、もしも著作権の概念をこれからも守っていくのであれば AI の使用は禁止あるいは、使用できる場所・範囲は限定的にされるべきだと私的には考えています。（文化的な分野（絵画、音楽、映画等） での使用は違法、業務的な分野（パソコンでのプログラミング、電話対応等）での使用は OK といった形）これからも日本という国が漫画、アニメといった分野で発展していくためにも是非上記のような例を一考して頂けると幸いです。拙い意見ではございますが、何卒宜しくお願い致します。
1004,他人の創作物を無断で使用できるのはおかしいと思いますし、そうやってできた生成物に著作権を与えるのもおかしいと思います。
1005,4.関係者からの様々な懸念の声について既に上がっているように、クリエイターの仕事を AI によって奪う人間が出てくることにより、今まで積み重ね変化していった創作物の流れが断ち切られる可能性があります。新たなものは生まれず似たり寄ったりなもので侵食され、衰退していくことも懸念されることは想像に難くありません。本来であればクリエイターの方々にはこんなことに悩まされず健やかに創作して頂きたいと思います。何かを創り続けられる人というのは限られがちで、1 分 1 秒も惜しいからです。
1008,"生成 AI に関する規制を強化・制限しない限り、学習元の絵を真似した作品でお金儲けをする人が更に増えるのではないかと危惧しています。また、生成 AI によって作られたものが学習元の複製物ではないと考えられている件について（素案,p26(イ)）、「廃棄請求が求められることもある」という文がおかしいです。「リスペクトをして学習元の絵柄を真似て練習して描いた」と「学習元の絵を無断で使用して新しい作品を作る」は全くの別物です。誰の何の、どのようなデータで複製物ではないと仰っているんでしょうか。学習元の絵を描いた人たちは時間と労力を削って自身が作りたいと思ったものを作成しています。それを生成 AI という学習元の絵や文章があれば出来てしまうツールをそのままにしてしまうのはやはり危険です。創作者を愚弄しているとしか思えません。"
1017,日本の強みである創作がどうなってもよいのかと感じてしまう。自分が今後創作するとなった場合に、したいと思えない内容だと感じた。
1019,現状 AI を用いて行われることや今後行われると予想されることが新しいものを生み出すことではなく、ツイッター(現 X)上でのインプレッションによる収入目的であったり、ツイッターで活動しているイラストレーターのイラストから無断で学習したデータを用いてイラストレーターを精神的に追い込む目的で利用されたり、企業の広告に学習データを使用した生成イラストを使用したことによってトラブルが起きたり、今後予想されることの例としては企業のコストカットであったり現在だけではなく将来にわたって生成 AI によって筆を折るクリエイターや本来発掘されていた将来有望なクリエイターを埋もれさせてしまうことであったり、現在活躍しているクリエイターは多種多様な表現に触れることによって、独自の価値観を形成していたものが、生成 AI によって類似性の高い創作物にあふれてしまい、多様性が損なわれてしまうとそこから新たな何かを生み出す可能性すら失われてしまい、創作分野以外からも失われて行き、多様性を失った人類は進化することなく滅びる可能性すらあるので、人類から創造性を剥奪する AI の運用に関しては慎重にならざるを得ない。
1021,知人や家族はインターネットに顔写真をあげています。それがディープフェイクに使われたり、イラストが盗作されるのがとても恐ろしい。規制なく安易に AＩが使われるのは反対です。
1032,自身も創作活動をしていく上で時間をかけて作成したものを簡単に学習され生成されてしまうこと、またそれで金銭のやり取りがなされる可能性もあるのは不快感がある。またそれによって好きな作家さんが生成 AI に模倣されて筆を折られたらすごく悲しくなるから嫌だし、自分も作成する意欲がなくなり、そもそも創作活動する方が減ってしまう原因になりかねない気がする。生成 AI は規制、もしくは免許制や学習元の制限など何かしらの制約を設けて欲しい
1033,一から産み出すのではなく他者から搾取しなければ生み出されないような物を商売として扱わないで下さい。貴方達がやろうとしていることは創作物を潰す行為です。
1036,カメラマンの方がモデルさんの写真を取り込み、それで AI 生成を行った事例が SNS 上で問題になりました。それがまかり通ってしまうのであればモデルなんて職業はそのうち必要なくなりますし、カメラマンも必要なくなります。なにより AI に取り込まれたモデルの方の写真が悪用されたり色々懸念点はあるかと思います。イラスト系の方でもそうです。AI の使用により安く買い叩かれ失業するひとが続出することになると思います。長い年月の努力の末の技術です。国内で開発された農産物の種苗などが海外流出していることが問題になっているのに、創作物になるとなぜ軽視出来るのでしょうか。
1038,日本文化はここに集約されていっていると過言でもないのに、漫画やアニメ文化などをどう考えても侵害するような AI はやはり罷り通るべきではない
1041,AI イラストに著作を与え、学習を推し進めようとしているようですが、他国は日本以上にイラスト AI の学習に批判的なイメージがあります。そもそも日本がイラスト AI を率先して進めようとする意義がないと思います。漫画やアニメ文化が折角日本は盛んなのに、AI イラストへ批判的なイメージが他国は余計あるため、AI イラストの著作を求めるような行動をしてしまえばアニメーターや漫画家がAI に著作を求めない国に移動してしまう流れが生まれ、日本の文化の衰退につながってしまうのではないでしょうか。AI イラストなのに、元のイラストとほぼ同じのイラストは多くあり、AI は所謂「パクリ」と変わらない印象があります。そこに、また加筆することで著作権を付与することは盗作に変わりないのではないでしょうか。先ほど述べたようにイラストレーターは国外に、趣味程度にイラストを描く私たちのような人間の多くは筆を折ることに繋がると考えます。AI に著作権を与える必要なく、むしろ危険だとと思います。
1044,創作界隈に属しておりますが、AI により主体性が大幅に低下している姿が散見されています（創作活動は福祉的な側面が強く、社会から離脱してしまったかたが多く属しています）。これは社会において一定数の人数がいると思われ、政府の盗用や盗作を推奨する姿勢は彼らに対して強い不信感を与えると思われます。今の無法状態を放置すれば、日本国における人間間の信頼性を喪失させ、法治国家としての信頼性を大きく損ね、社会が著しく不安定になると思われます。現在の AI 関連の政府の姿勢には強く憤っています。日本国として現在の無軌道で粗暴な AI の利用に対して強い反対の姿勢を期待しています。
1048,作風＝〇〇さんという印象が世間にある場合、〇〇さんの作風を利用して、〇〇さんが意図しない絵を AI で生成すると、そのまま〇〇さんの意図とされる可能性も考慮して欲しいです。人に例えると A さんというタレントが、ヌードの撮影をずっと拒否してきたのにも関わらず、A さんのヌード写真を AI で生成した場合は名誉毀損にあたると思います。極端な話、作風を利用して政治的な批判を絵を AI 生成したとしたら、その作風の作家さんの主張として誤った広まり方をしてしまうのではないでしょうか。お話が変わりますが、ただでさえ給料が低いために後継者が少なくなってきてるアニメ漫画の業界で、生成 AI での仕事がまかり通ってしまうとちゃんとした技術者がいなくなってしまうのが心配です。生成 AI に学習させる場合は、しっかりと作品の作者にお金が支払われるシステムを構築して欲しいです。また無断で AI に学習させるのではなく、作者側の意思で AI に学習させるかさせないかを決めれないでしょうか。生成 AI を使ったとしても、最終的に手直しするべきかどうかをジャッジするのは人間です。アニメ・漫画業界に絞ってコメントしましたが、ライターや映像業界でも同様だと思います。ジャッジできる人間の育成することにも目を向けていただければ幸いです。
1049,現在の AI には限界がある。たとえば 100 の創作物を与え、それを覚えて AI が生み出したものは基本乱数の違いとしか言いようがなく、与えた創作物の範囲から逸脱することはない。どんなに学ばせた AI に色々な要素で出力させたとしても、そこに 101 個目は生まれない。横顔だけを学ばせた AI に正面顔は想像ですら描けない。生成 AI が盗作から脱却出来た時に初めて AI に著作権が設定されて、それまでのすべての AI 作品は著作権を侵害していると考える。
1050,好きな作家さんの作品が、努力も何もしてない人たちに侵食されるのが苦しいです。頑張っている人たちが正しい評価を受けられる世界になってほしいです。
1054,現状 AI の利用を促進している側が学習データの基となった方々への配慮、保護等を考えられていないように見受けられます。推進派が例えが悪いかもしれませんが、焼畑農業のように元の場所を燃やして短期的に儲けた後に、利益だけ持って去っていくイメージしかありません。そのようなことがないように熟慮願います。
1058,AI 技術はすごい技術ではあるが学習元があってこその技術であるため学習元となるものの権利を守っていかなければならないと考える。学習元の権利を守らなければ学習元の数が減り、AI の学習が収束して多様性がなくなると考える文化を守るためにも AI への規制は強まるべきである
1061,画像生成について自分の写真（やアート）を学習の素材に使われたくないという気持ちを尊重してほしいです。任意の人の顔写真やアイコンを用いて尊厳を侵害される、反社会的活動に使われてしまうなどの危険性を心配しています。学習させる素材とするには、元の肖像、著作者から許可を得たもの・契約を結んだもののみ、などの制約があるべきと考えます。
